iso_code;year;fuel;production
BRN;2011;biofuel;0.0
BRN;2012;biofuel;0.0
BRN;2013;biofuel;0.0
BRN;2014;biofuel;0.0
BRN;2015;biofuel;0.0
BRN;2016;biofuel;0.0
BRN;2017;biofuel;0.0
BRN;2018;biofuel;0.0
BRN;2019;biofuel;0.0
BRN;2020;biofuel;0.0
BRN;2021;biofuel;
BGR;2000;biofuel;0.0
BGR;2001;biofuel;0.0
BGR;2002;biofuel;0.0
BGR;2003;biofuel;0.0
BGR;2004;biofuel;0.0
BGR;2005;biofuel;0.0
BGR;2006;biofuel;0.0
BGR;2007;biofuel;0.0
BGR;2008;biofuel;0.02
BGR;2009;biofuel;0.01
BGR;2010;biofuel;0.04
BGR;2011;biofuel;0.06
BGR;2012;biofuel;0.07
BGR;2013;biofuel;0.11
BGR;2014;biofuel;0.2
BGR;2015;biofuel;0.27
BGR;2016;biofuel;0.35
BGR;2017;biofuel;0.4
BGR;2018;biofuel;1.57
BGR;2019;biofuel;1.82
BGR;2020;biofuel;1.83
BGR;2021;biofuel;1.82
BDI;2000;biofuel;0.0
BDI;2001;biofuel;0.0
BDI;2002;biofuel;0.0
BDI;2003;biofuel;0.0
BDI;2004;biofuel;0.0
BDI;2005;biofuel;0.0
BDI;2006;biofuel;0.0
BDI;2007;biofuel;0.0
BDI;2008;biofuel;0.0
BDI;2009;biofuel;0.0
BDI;2010;biofuel;0.0
BDI;2011;biofuel;0.0
BDI;2012;biofuel;0.0
BDI;2013;biofuel;0.01
BDI;2014;biofuel;0.01
BDI;2015;biofuel;0.01
BDI;2016;biofuel;0.01
BDI;2017;biofuel;0.01
BDI;2018;biofuel;0.01
BDI;2019;biofuel;0.01
BDI;2020;biofuel;0.01
BDI;2021;biofuel;0.01
KHM;2000;biofuel;0.0
KHM;2001;biofuel;0.0
KHM;2002;biofuel;0.0
KHM;2003;biofuel;0.0
KHM;2004;biofuel;0.0
KHM;2005;biofuel;0.0
KHM;2006;biofuel;0.08
KHM;2007;biofuel;0.11
KHM;2008;biofuel;0.12
KHM;2009;biofuel;0.11
KHM;2010;biofuel;0.09
KHM;2011;biofuel;0.1
KHM;2012;biofuel;0.33
KHM;2013;biofuel;0.23
KHM;2014;biofuel;0.11
KHM;2015;biofuel;0.15
KHM;2016;biofuel;0.18
KHM;2017;biofuel;0.32
KHM;2018;biofuel;0.26
KHM;2019;biofuel;0.34
KHM;2020;biofuel;0.22
CMR;2000;biofuel;0.0
CMR;2001;biofuel;0.0
CMR;2002;biofuel;0.0
CMR;2003;biofuel;0.0
CMR;2004;biofuel;0.0
CMR;2005;biofuel;0.0
CMR;2006;biofuel;0.0
CMR;2007;biofuel;0.0
CMR;2008;biofuel;0.0
CMR;2009;biofuel;0.0
CMR;2010;biofuel;0.0
CMR;2011;biofuel;0.0
CMR;2012;biofuel;0.0
CMR;2013;biofuel;0.0
CMR;2014;biofuel;0.0
CMR;2015;biofuel;0.0
CMR;2016;biofuel;0.0
CMR;2017;biofuel;0.0
CMR;2018;biofuel;0.0
CMR;2019;biofuel;0.0
CMR;2020;biofuel;0.0
CAN;2000;biofuel;8.47
CAN;2001;biofuel;9.2
CAN;2002;biofuel;9.55
CAN;2003;biofuel;8.93
CAN;2004;biofuel;9.26
CAN;2005;biofuel;8.73
CAN;2006;biofuel;8.45
CAN;2007;biofuel;8.31
CAN;2008;biofuel;7.69
CAN;2009;biofuel;8.51
CAN;2010;biofuel;9.49
